date,location,red_fighter,blue_fighter,weight_class,title_fight,red_Record,red_Average Fight Time,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_Strikes Landed per Min.,red_sig_strike_average,red_Strikes Absorbed per Min. (SApM),red_sig_strike_defence_average,red_Takedowns Average/15 min.,red_takedowns_average,red_takedowns_defence_average,red_Submission Average/15 min.,blue_Record,blue_Average Fight Time,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_Strikes Landed per Min. (SLpM),blue_sig_strike_average,blue_Strikes Absorbed per Min. (SApM),blue_sig_strike_defence_average,blue_Takedowns Average/15 min.,blue_takedowns_average,blue_takedowns_defence_average,blue_Submission Average/15 min.,Height_diff,Reach_diff,red_age,blue_age
2021-12-04,"Las Vegas, Nevada, USA",Rob Font,Jose Aldo,Bantamweight,N,19-4-0,10:26,172.72,135 lbs.,180.34,Orthodox,1987-06-25,5.58,0.43,3.57,0.61,1.20,0.4,0.53,0.6,30-7-0,13:46,170.18,135 lbs.,177.8,Orthodox,1986-09-09,3.63,0.45,3.59,0.61,0.55,0.56,0.91,0.1,2.539999999999992,2.539999999999992,34,35
2021-12-04,"Las Vegas, Nevada, USA",Brad Riddell,Rafael Fiziev,Lightweight,N,10-1-0,15:00,170.18,155 lbs.,180.34,Orthodox,1991-09-30,4.75,0.53,3.18,0.54,2.00,0.42,0.62,0.0,10-1-0,10:06,172.72,155 lbs.,180.34,Switch,1993-03-05,5.34,0.52,5.76,0.5,0.59,0.5,1.0,0.0,-2.539999999999992,0.0,30,29
2021-12-04,"Las Vegas, Nevada, USA",Clay Guida,Leonardo Santos,Lightweight,N,36-18-0,12:39,170.18,155 lbs.,177.8,Orthodox,1981-12-08,2.53,0.34,2.71,0.62,3.24,0.38,0.68,0.7,18-5-1,10:53,182.88,155 lbs.,190.5,Orthodox,1980-02-05,2.65,0.44,2.77,0.58,1.07,0.29,0.89,0.3,-12.699999999999989,-12.699999999999989,40,42
2021-12-04,"Las Vegas, Nevada, USA",Jimmy Crute,Jamahal Hill,Light Heavyweight,N,12-2-0,5:10,187.96,205 lbs.,187.96,Orthodox,1996-03-04,4.26,0.56,2.71,0.5,4.97,0.8,0.6,2.1,8-1-0 (1 NC),7:23,193.04,205 lbs.,200.66,Southpaw,1991-05-19,7.50,0.52,3.60,0.45,0.00,0.0,0.57,0.0,-5.079999999999984,-12.699999999999989,26,31
2021-12-04,"Las Vegas, Nevada, USA",Brendan Allen,Chris Curtis,Middleweight,N,17-4-0,8:19,187.96,185 lbs.,190.5,Orthodox,1995-12-28,4.10,0.52,4.24,0.45,1.29,0.45,0.5,1.6,27-8-0,8:02,177.8,185 lbs.,190.5,Orthodox,1987-07-15,6.54,0.67,6.85,0.55,0.00,0.0,1.0,0.0,10.159999999999997,0.0,26,34
2021-12-04,"Las Vegas, Nevada, USA",Maki Pitolo,Dusko Todorovic,Middleweight,N,13-8-0,9:18,177.8,185 lbs.,190.5,Orthodox,1990-11-24,4.20,0.44,3.71,0.56,2.42,0.52,0.55,0.5,10-2-0,10:46,185.42000000000002,185 lbs.,187.96,Orthodox,1994-05-19,5.71,0.54,5.18,0.48,0.35,0.05,0.5,0.0,-7.6200000000000045,2.539999999999992,31,28
2021-12-04,"Las Vegas, Nevada, USA",Manel Kape,Zhalgas Zhumagulov,Flyweight,N,16-6-0,11:35,165.1,125 lbs.,172.72,Southpaw,1993-11-14,3.71,0.47,4.23,0.49,0.86,0.28,0.8,0.0,14-5-0,10:41,162.56,125 lbs.,167.64000000000001,Switch,1988-08-29,4.21,0.49,4.09,0.6,1.40,0.21,0.5,0.5,2.539999999999992,5.079999999999984,28,33
2021-12-04,"Las Vegas, Nevada, USA",Jake Matthews,Jeremiah Wells,Welterweight,N,17-5-0,11:26,180.34,170 lbs.,185.42000000000002,Orthodox,1994-08-19,3.03,0.44,2.16,0.61,1.93,0.41,0.66,0.6,9-2-1,5:30,175.26,170 lbs.,187.96,Switch,1986-10-30,3.82,0.4,2.73,0.11,0.00,0.0,1.0,0.0,5.0800000000000125,-2.539999999999992,27,35
2021-12-04,"Las Vegas, Nevada, USA",Cheyanne Vlismas,Mallory Martin,Women's Strawweight,N,6-2-0,10:20,160.02,115 lbs.,160.02,Switch,1995-06-25,4.32,0.54,1.77,0.64,0.48,0.33,0.6,0.0,7-4-0,7:47,162.56,115 lbs.,160.02,Orthodox,1994-01-29,3.99,0.59,5.53,0.58,3.37,0.63,0.25,0.5,-2.539999999999992,0.0,26,28
2021-12-04,"Las Vegas, Nevada, USA",Alonzo Menifield,William Knight,Light Heavyweight,N,11-2-0,5:55,182.88,205 lbs.,193.04,Orthodox,1987-10-18,4.13,0.54,3.36,0.53,0.56,0.25,0.85,0.3,10-2-0,10:11,177.8,205 lbs.,185.42000000000002,Orthodox,1988-04-03,3.55,0.72,2.65,0.34,2.36,0.53,0.4,0.3,5.079999999999984,7.619999999999976,34,34
2021-12-04,"Las Vegas, Nevada, USA",Claudio Puelles,Chris Gruetzemacher,Lightweight,N,11-2-0,12:20,177.8,155 lbs.,182.88,Southpaw,1996-04-21,1.76,0.47,3.02,0.49,3.35,0.47,0.62,0.9,15-4-0,9:14,172.72,155 lbs.,172.72,Orthodox,1986-06-16,6.93,0.56,5.35,0.54,0.00,0.0,0.61,0.0,5.0800000000000125,10.159999999999997,26,35
2021-12-04,"Las Vegas, Nevada, USA",Jared Vanderaa,Azamat Murzakanov,Heavyweight,N,12-6-0,9:27,193.04,260 lbs.,203.2,Orthodox,1992-05-12,4.50,0.5,5.24,0.39,0.40,1.0,0.2,0.0,10-0-0,3:00,177.8,205 lbs.,180.34,Southpaw,1989-04-12,3.00,0.52,1.33,0.63,0.00,0.0,0.0,0.0,15.23999999999998,22.859999999999985,30,33
2021-12-04,"Las Vegas, Nevada, USA",Alex Morono,Mickey Gall,Welterweight,N,20-7-0 (1 NC),11:08,180.34,170 lbs.,182.88,Orthodox,1990-08-16,5.14,0.42,3.89,0.56,0.38,0.25,0.52,0.4,7-3-0,7:33,187.96,170 lbs.,187.96,Switch,1992-01-22,2.60,0.46,3.68,0.44,1.32,0.28,0.36,2.4,-7.6200000000000045,-5.0800000000000125,31,30
2021-12-04,"Las Vegas, Nevada, USA",Louis Smolka,Vince Morales,Bantamweight,N,17-7-0,9:48,175.26,135 lbs.,172.72,Orthodox,1991-07-16,4.44,0.46,3.74,0.53,1.84,0.37,0.31,1.9,10-5-0,12:43,170.18,135 lbs.,177.8,Orthodox,1990-11-12,4.39,0.39,4.06,0.55,0.20,0.25,0.5,0.0,5.079999999999984,-5.0800000000000125,30,31
